id_alerta,gid,classname,view_date,publish_month,sensor,satellite,municipality,mun_geocod,uf,lat,lon,area_ha,areauckm,dentro_area_protegida,uc,score_riesgo,Nivel_Riesgo_Amenaza,municipio_norm,num_incendios_7d_previo,frp_total_7d_previo,precipitacion_promedio_7d_previo,dias_sin_lluvia_promedio_7d_previo,riesgo_fuego_promedio_7d_previo,pm10_reanalise_7d_previo,pm2_5_reanalise_7d_previo,o3_reanalise_7d_previo,no2_reanalise_7d_previo,co_reanalise_7d_previo,so2_reanalise_7d_previo,T2M_7d_previo,RH2M_7d_previo,WS2M_7d_previo
14825,21177_hist,DESMATAMENTO_CR,2022-01-01,2022-01-01,WFI,AMAZONIA-1,Manoel Urbano,1200344,AC,-9.010940912962663,-69.3385072913171,18.28,0.0,0,,4,Moderado,MANOEL URBANO,0.0,0.0,,,,21.66,16.38,10.06,0.07,0.11,0.01,26.35,90.55,0.0
15607,94782_hist,DESMATAMENTO_CR,2022-01-01,2022-01-01,WFI,AMAZONIA-1,Sena Madureira,1200500,AC,-9.09095586510041,-68.8945682648767,23.83,0.2383,1,RESERVA EXTRATIVISTA DO CAZUMBÁ-IRACEMA,7,Crítico,SENA MADUREIRA,0.0,0.0,,,,22.32,17.07,11.4,0.07,0.11,0.02,26.75,87.22,0.02
10765,21159_hist,DESMATAMENTO_CR,2022-01-01,2022-01-01,WFI,CBERS-4A,Porto Velho,1100205,RO,-9.866011315803762,-64.90380471792386,42.370000000000005,0.0,0,,5,Alto,PORTO VELHO,0.0,0.0,,,,18.13,14.24,15.99,0.18,0.12,0.15,25.7,95.07,0.07
41620,21150_hist,DESMATAMENTO_CR,2022-01-01,2022-01-01,WFI,CBERS-4A,Boca do Acre,1300706,AM,-9.411924410135953,-67.37136862443896,11.65,0.0,0,,4,Moderado,BOCA DO ACRE,1.0,6.7,0.4,4.0,0.0,21.23,16.61,15.93,0.08,0.11,0.02,26.9,88.55,0.02
9017,21157_hist,DESMATAMENTO_CR,2022-01-01,2022-01-01,WFI,CBERS-4A,Porto Velho,1100205,RO,-9.69502120888447,-65.71310077130146,17.11,0.0,0,,4,Moderado,PORTO VELHO,0.0,0.0,,,,18.13,14.24,15.99,0.18,0.12,0.15,25.7,95.07,0.07
40486,21188_hist,DESMATAMENTO_CR,2022-01-01,2022-01-01,WFI,CBERS-4A,Porto Velho,1100205,RO,-8.732699257822453,-62.3926324235453,37.03,0.0,0,,5,Alto,PORTO VELHO,0.0,0.0,,,,18.13,14.24,15.99,0.18,0.12,0.15,25.7,95.07,0.07
37687,21158_hist,DESMATAMENTO_CR,2022-01-01,2022-01-01,WFI,CBERS-4A,Porto Velho,1100205,RO,-9.813822664416207,-64.98296190150904,19.45,0.0,0,,5,Alto,PORTO VELHO,0.0,0.0,,,,18.13,14.24,15.99,0.18,0.12,0.15,25.7,95.07,0.07
36132,21175_hist,DESMATAMENTO_CR,2022-01-01,2022-01-01,WFI,CBERS-4A,Candeias do Jamari,1100809,RO,-9.328503183561343,-63.45315736286743,6.98,0.0,0,,3,Moderado,CANDEIAS DO JAMARI,0.0,0.0,,,,18.23,14.31,15.88,0.21,0.12,0.15,25.48,95.05,0.02
6199,21174_hist,DESMATAMENTO_CR,2022-01-01,2022-01-01,WFI,CBERS-4A,Candeias do Jamari,1100809,RO,-9.34642012049956,-63.471696416091554,41.71,0.0,0,,5,Alto,CANDEIAS DO JAMARI,0.0,0.0,,,,18.23,14.31,15.88,0.21,0.12,0.15,25.48,95.05,0.02
40557,21192_hist,DESMATAMENTO_CR,2022-01-01,2022-01-01,WFI,CBERS-4A,Porto Velho,1100205,RO,-8.706390636726054,-62.45376053499007,15.509999999999998,0.0,0,,4,Moderado,PORTO VELHO,0.0,0.0,,,,18.13,14.24,15.99,0.18,0.12,0.15,25.7,95.07,0.07
11101,21137_hist,DEGRADACAO,2022-01-01,2022-01-01,WFI,AMAZONIA-1,Manoel Urbano,1200344,AC,-8.768873306494248,-69.4064344398744,15.17,0.0,0,,3,Moderado,MANOEL URBANO,0.0,0.0,,,,21.66,16.38,10.06,0.07,0.11,0.01,26.35,90.55,0.0
44437,21163_hist,DESMATAMENTO_CR,2022-01-01,2022-01-01,WFI,AMAZONIA-1,Sena Madureira,1200500,AC,-9.073102935897309,-68.94005954899336,14.74,0.0,0,,4,Moderado,SENA MADUREIRA,0.0,0.0,,,,22.32,17.07,11.4,0.07,0.11,0.02,26.75,87.22,0.02
3472,21237_hist,DESMATAMENTO_CR,2022-01-03,2022-01-01,AWFI,CBERS-4,Rorainopolis,1400472,RR,0.7932384600818825,-60.51321182034606,18.31,0.0,0,,4,Moderado,RORAINOPOLIS,0.0,0.0,,,,22.15,17.966666666666665,32.25666666666667,0.06,0.1166666666666666,0.0266666666666666,25.736666666666668,87.46333333333332,0.06666666666666667
12185,21250_hist,DESMATAMENTO_CR,2022-01-03,2022-01-01,AWFI,CBERS-4,Caracarai,1400209,RR,1.492191842234869,-60.64509264024913,8.94,0.0,0,,3,Moderado,CARACARAI,0.0,0.0,,,,20.05333333333333,16.19333333333333,32.376666666666665,0.1233333333333333,0.1233333333333333,0.0533333333333333,25.836666666666662,82.95333333333333,0.03666666666666667
18388,21235_hist,DESMATAMENTO_CR,2022-01-03,2022-01-01,AWFI,CBERS-4,Rorainopolis,1400472,RR,0.7762983590445959,-60.6298713546199,23.46,0.0,0,,5,Alto,RORAINOPOLIS,0.0,0.0,,,,22.15,17.966666666666665,32.25666666666667,0.06,0.1166666666666666,0.0266666666666666,25.736666666666668,87.46333333333332,0.06666666666666667
2905,21208_hist,DESMATAMENTO_CR,2022-01-03,2022-01-01,WFI,AMAZONIA-1,Santa Cruz do Xingu,5107743,MT,-10.122472668254098,-52.08539296842273,13.900000000000002,0.0,0,,4,Moderado,SANTA CRUZ DO XINGU,0.0,0.0,,,,12.706666666666669,9.503333333333332,15.136666666666663,0.1533333333333333,0.1333333333333333,0.0166666666666666,24.326666666666668,92.84333333333332,0.03
9769,21213_hist,DESMATAMENTO_CR,2022-01-03,2022-01-01,WFI,AMAZONIA-1,Marcelandia,5105580,MT,-11.017378848677124,-54.26624376923888,10.33,0.0,0,,4,Moderado,MARCELANDIA,0.0,0.0,,,,11.946666666666664,9.11,15.01,0.3866666666666666,0.1333333333333333,0.04,24.353333333333335,93.00999999999999,0.016666666666666666
46356,21204_hist,DESMATAMENTO_CR,2022-01-03,2022-01-01,WFI,AMAZONIA-1,Sao Felix do Araguaia,5107859,MT,-11.40135710422754,-52.02593900753315,6.99,0.0,0,,3,Moderado,SAO FELIX DO ARAGUAIA,0.0,0.0,,,,17.396666666666665,13.123333333333337,14.65,0.4866666666666666,0.1366666666666667,0.0266666666666666,24.366666666666664,93.47666666666667,0.01
44391,21206_hist,DESMATAMENTO_CR,2022-01-03,2022-01-01,WFI,AMAZONIA-1,Porto Alegre do Norte,5106778,MT,-10.943215602549508,-52.13344773307722,16.29,0.0,0,,4,Moderado,PORTO ALEGRE DO NORTE,0.0,0.0,,,,14.633333333333333,10.99,14.446666666666667,0.33,0.1333333333333333,0.0266666666666666,24.776666666666667,92.77999999999999,0.0033333333333333335
23885,21242_hist,DESMATAMENTO_CR,2022-01-03,2022-01-01,AWFI,CBERS-4,Rorainopolis,1400472,RR,0.8448559330178521,-60.302555479460594,33.81,0.0,0,,5,Alto,RORAINOPOLIS,0.0,0.0,,,,22.15,17.966666666666665,32.25666666666667,0.06,0.1166666666666666,0.0266666666666666,25.736666666666668,87.46333333333332,0.06666666666666667
3254,21243_hist,DEGRADACAO,2022-01-03,2022-01-01,AWFI,CBERS-4,Caracarai,1400209,RR,1.0965055347336805,-60.58793223126954,33.11,0.0,0,,4,Moderado,CARACARAI,0.0,0.0,,,,20.05333333333333,16.19333333333333,32.376666666666665,0.1233333333333333,0.1233333333333333,0.0533333333333333,25.836666666666662,82.95333333333333,0.03666666666666667
40959,21207_hist,DESMATAMENTO_CR,2022-01-03,2022-01-01,WFI,AMAZONIA-1,Porto Alegre do Norte,5106778,MT,-10.532083017705068,-52.139219417218406,16.56,0.0,0,,4,Moderado,PORTO ALEGRE DO NORTE,0.0,0.0,,,,14.633333333333333,10.99,14.446666666666667,0.33,0.1333333333333333,0.0266666666666666,24.776666666666667,92.77999999999999,0.0033333333333333335
11519,21244_hist,DESMATAMENTO_CR,2022-01-03,2022-01-01,AWFI,CBERS-4,Caracarai,1400209,RR,1.3398877517146748,-60.67484610415218,12.740000000000002,0.0,0,,4,Moderado,CARACARAI,0.0,0.0,,,,20.05333333333333,16.19333333333333,32.376666666666665,0.1233333333333333,0.1233333333333333,0.0533333333333333,25.836666666666662,82.95333333333333,0.03666666666666667
1742,109713_hist,DESMATAMENTO_CR,2022-01-04,2022-01-01,WFI,AMAZONIA-1,Rorainopolis,1400472,RR,0.9126359652140776,-60.57443154339394,13.7,0.0,0,,4,Moderado,RORAINOPOLIS,4.0,105.3,0.0,4.0,0.0,21.0,16.7975,33.3325,0.13,0.1175,0.05,25.68,86.8125,0.0825
47946,21284_hist,DESMATAMENTO_CR,2022-01-04,2022-01-01,WFI,AMAZONIA-1,Xapuri,1200708,AC,-10.536692274634142,-68.53674157852211,11.87,0.0,0,,4,Moderado,XAPURI,4.0,65.2,0.0,5.666666666666666,0.0666666666666666,28.6625,22.61,12.0975,0.12,0.1225,0.0475,26.237499999999997,87.5,0.0
46740,21295_hist,DESMATAMENTO_CR,2022-01-04,2022-01-01,AWFI,CBERS-4,Peixoto de Azevedo,5106422,MT,-9.929295305024642,-53.75965690631651,45.23,0.0,0,,5,Alto,PEIXOTO DE AZEVEDO,0.0,0.0,,,,11.42,8.685,17.2675,0.3975,0.1275,0.0425,23.87,93.5775,0.017499999999999998
14296,21304_hist,DESMATAMENTO_CR,2022-01-04,2022-01-01,WFI,AMAZONIA-1,Costa Marques,1100080,RO,-12.341520982491012,-64.05354281159372,13.69,0.0,0,,4,Moderado,COSTA MARQUES,3.0,61.7,0.0,3.333333333333333,0.4666666666666666,23.16,18.365,15.3825,0.085,0.1225,0.0225,28.085,75.15,0.5875
4082,21276_hist,DESMATAMENTO_CR,2022-01-04,2022-01-01,WFI,AMAZONIA-1,Rorainopolis,1400472,RR,0.9347929205857832,-60.52258195496758,24.37,0.0,0,,5,Alto,RORAINOPOLIS,4.0,105.3,0.0,4.0,0.0,21.0,16.7975,33.3325,0.13,0.1175,0.05,25.68,86.8125,0.0825
