DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,FRP,Latitude,Longitude
2024/01/01 18:02:00,AQUA_M-T,Brasil,MATO GROSSO,VILA BELA DA SANTÍSSIMA TRINDADE,Amazônia,2,0.0,0.18,10.8,-15.38982,-59.57588
2024/01/01 18:02:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA MARINGÁ,Amazônia,2,4.34,0.01,9.4,-12.55855,-57.16691
2024/01/01 18:02:00,AQUA_M-T,Brasil,MATO GROSSO,VILA BELA DA SANTÍSSIMA TRINDADE,Amazônia,0,0.0,0.28,11.0,-15.09233,-59.61592
2024/01/01 18:04:00,AQUA_M-T,Brasil,AMAZONAS,AUTAZES,Amazônia,0,0.0,0.0,14.2,-3.47631,-59.24799
2024/01/01 18:04:00,AQUA_M-T,Brasil,AMAZONAS,IRANDUBA,Amazônia,0,0.0,0.0,6.1,-2.86791,-60.95408
2024/01/01 18:04:00,AQUA_M-T,Brasil,PARÁ,URUARÁ,Amazônia,0,7.12,0.02,34.3,-3.95707,-54.02471
2024/01/01 18:04:00,AQUA_M-T,Brasil,PARÁ,URUARÁ,Amazônia,0,6.93,0.02,28.5,-3.95154,-54.02053
2024/01/01 18:06:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazônia,0,0.0,0.29,74.3,0.93643,-59.47551
2024/01/01 18:06:00,AQUA_M-T,Brasil,RORAIMA,RORAINÓPOLIS,Amazônia,2,0.0,0.88,16.9,0.69258,-60.41844
2024/01/01 18:06:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazônia,0,0.0,0.02,20.9,0.664,-59.52291
2024/01/01 18:06:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazônia,0,0.0,0.0,18.4,0.66254,-59.53312
2024/01/01 18:06:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazônia,0,0.0,0.05,56.2,0.946,-59.47693
2024/01/01 18:06:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazônia,0,0.0,0.06,9.6,0.94453,-59.48722
2024/01/01 18:06:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazônia,6,0.0,1.0,14.3,4.29534,-60.72822
2024/01/01 18:06:00,AQUA_M-T,Brasil,RORAIMA,CARACARAÍ,Amazônia,2,0.0,1.0,10.4,1.78044,-61.11729
