T2M,RH2M,WS2M,fecha,municipio_norm,uf
25.62,92.18,0.14,2022-01-01,ABAETETUBA,PA
25.8,90.77,0.11,2022-01-02,ABAETETUBA,PA
25.34,93.46,0.08,2022-01-03,ABAETETUBA,PA
25.45,88.97,0.17,2022-01-04,ABAETETUBA,PA
25.75,90.75,0.06,2022-01-05,ABAETETUBA,PA
26.02,90.07,0.06,2022-01-06,ABAETETUBA,PA
25.98,92.92,0.07,2022-01-07,ABAETETUBA,PA
25.58,92.15,0.09,2022-01-08,ABAETETUBA,PA
24.89,92.13,0.14,2022-01-09,ABAETETUBA,PA
24.74,92.48,0.26,2022-01-10,ABAETETUBA,PA
25.4,91.64,0.1,2022-01-11,ABAETETUBA,PA
25.01,92.97,0.07,2022-01-12,ABAETETUBA,PA
24.79,92.59,0.11,2022-01-13,ABAETETUBA,PA
25.69,89.35,0.1,2022-01-14,ABAETETUBA,PA
25.72,91.06,0.13,2022-01-15,ABAETETUBA,PA
25.64,90.95,0.11,2022-01-16,ABAETETUBA,PA
26.08,91.15,0.07,2022-01-17,ABAETETUBA,PA
25.53,95.24,0.08,2022-01-18,ABAETETUBA,PA
25.38,93.67,0.06,2022-01-19,ABAETETUBA,PA
25.97,90.52,0.17,2022-01-20,ABAETETUBA,PA
26.35,89.59,0.1,2022-01-21,ABAETETUBA,PA
26.14,91.04,0.13,2022-01-22,ABAETETUBA,PA
26.22,90.93,0.06,2022-01-23,ABAETETUBA,PA
24.99,94.49,0.06,2022-01-24,ABAETETUBA,PA
24.95,90.86,0.09,2022-01-25,ABAETETUBA,PA
25.85,90.61,0.1,2022-01-26,ABAETETUBA,PA
24.84,94.73,0.13,2022-01-27,ABAETETUBA,PA
24.91,91.4,0.11,2022-01-28,ABAETETUBA,PA
24.1,95.49,0.1,2022-01-29,ABAETETUBA,PA
25.09,89.5,0.2,2022-01-30,ABAETETUBA,PA
25.22,94.97,0.09,2022-01-31,ABAETETUBA,PA
25.94,93.02,0.1,2022-02-01,ABAETETUBA,PA
26.05,91.74,0.06,2022-02-02,ABAETETUBA,PA
25.5,94.48,0.1,2022-02-03,ABAETETUBA,PA
26.19,92.04,0.11,2022-02-04,ABAETETUBA,PA
25.53,94.99,0.1,2022-02-05,ABAETETUBA,PA
25.9,92.33,0.09,2022-02-06,ABAETETUBA,PA
25.81,93.78,0.21,2022-02-07,ABAETETUBA,PA
26.41,92.54,0.07,2022-02-08,ABAETETUBA,PA
26.04,92.95,0.05,2022-02-09,ABAETETUBA,PA
25.7,93.83,0.06,2022-02-10,ABAETETUBA,PA
25.72,92.35,0.07,2022-02-11,ABAETETUBA,PA
25.84,92.17,0.11,2022-02-12,ABAETETUBA,PA
25.02,94.89,0.11,2022-02-13,ABAETETUBA,PA
25.55,90.36,0.09,2022-02-14,ABAETETUBA,PA
25.8,91.88,0.06,2022-02-15,ABAETETUBA,PA
25.07,94.75,0.11,2022-02-16,ABAETETUBA,PA
25.89,90.83,0.08,2022-02-17,ABAETETUBA,PA
26.19,88.71,0.06,2022-02-18,ABAETETUBA,PA
26.06,90.46,0.06,2022-02-19,ABAETETUBA,PA
25.78,91.77,0.17,2022-02-20,ABAETETUBA,PA
26.26,91.15,0.11,2022-02-21,ABAETETUBA,PA
26.42,91.93,0.07,2022-02-22,ABAETETUBA,PA
26.87,90.93,0.09,2022-02-23,ABAETETUBA,PA
26.94,90.88,0.1,2022-02-24,ABAETETUBA,PA
25.96,94.86,0.06,2022-02-25,ABAETETUBA,PA
25.99,95.11,0.08,2022-02-26,ABAETETUBA,PA
26.23,92.21,0.06,2022-02-27,ABAETETUBA,PA
26.26,92.4,0.05,2022-02-28,ABAETETUBA,PA
25.45,91.16,0.2,2022-03-01,ABAETETUBA,PA
25.89,91.62,0.1,2022-03-02,ABAETETUBA,PA
25.59,95.88,0.08,2022-03-03,ABAETETUBA,PA
25.47,92.81,0.08,2022-03-04,ABAETETUBA,PA
25.0,91.63,0.06,2022-03-05,ABAETETUBA,PA
24.53,91.68,0.08,2022-03-06,ABAETETUBA,PA
25.9,88.66,0.2,2022-03-07,ABAETETUBA,PA
25.16,94.4,0.08,2022-03-08,ABAETETUBA,PA
25.8,91.73,0.06,2022-03-09,ABAETETUBA,PA
25.37,92.62,0.12,2022-03-10,ABAETETUBA,PA
25.27,91.4,0.05,2022-03-11,ABAETETUBA,PA
25.89,90.73,0.07,2022-03-12,ABAETETUBA,PA
26.37,91.14,0.06,2022-03-13,ABAETETUBA,PA
26.0,91.66,0.06,2022-03-14,ABAETETUBA,PA
25.0,96.05,0.05,2022-03-15,ABAETETUBA,PA
24.68,92.13,0.06,2022-03-16,ABAETETUBA,PA
26.07,90.94,0.09,2022-03-17,ABAETETUBA,PA
25.49,94.39,0.05,2022-03-18,ABAETETUBA,PA
24.3,96.02,0.07,2022-03-19,ABAETETUBA,PA
25.71,90.24,0.06,2022-03-20,ABAETETUBA,PA
24.41,95.76,0.07,2022-03-21,ABAETETUBA,PA
25.06,93.23,0.06,2022-03-22,ABAETETUBA,PA
25.99,92.97,0.07,2022-03-23,ABAETETUBA,PA
25.95,92.23,0.07,2022-03-24,ABAETETUBA,PA
26.42,90.37,0.08,2022-03-25,ABAETETUBA,PA
25.35,94.07,0.06,2022-03-26,ABAETETUBA,PA
25.83,90.74,0.05,2022-03-27,ABAETETUBA,PA
