semana,municipio_norm,uf,num_alertas,area_ha_total,score_riesgo_promedio,num_incendios,frp_total,frp_promedio,precipitacion_promedio,dias_sin_lluvia_promedio,riesgo_fuego_promedio
2021-12-27,BOCA DO ACRE,AM,1,11.65,4.0,1.0,6.7,6.7,0.4,4.0,0.0
2021-12-27,CANDEIAS DO JAMARI,RO,2,48.69,4.0,0.0,0.0,0.0,,,
2021-12-27,MANOEL URBANO,AC,2,33.45,3.5,0.0,0.0,0.0,,,
2021-12-27,PORTO VELHO,RO,5,131.47,4.6,0.0,0.0,0.0,,,
2021-12-27,SENA MADUREIRA,AC,2,38.57,5.5,0.0,0.0,0.0,,,
2022-01-03,ACAILANDIA,MA,1,10.05,3.0,0.0,0.0,0.0,,,
2022-01-03,ALTO PARAISO,RO,2,57.839999999999996,4.5,0.0,0.0,0.0,,,
2022-01-03,APUI,AM,5,124.97999999999999,4.6,0.0,0.0,0.0,,,
2022-01-03,ARIPUANA,MT,2,263.18,5.5,0.0,0.0,0.0,,,
2022-01-03,BOCA DO ACRE,AM,3,29.34,3.3333333333333335,0.0,0.0,0.0,,,
2022-01-03,CAMPO NOVO DE RONDONIA,RO,2,22.73,3.5,0.0,0.0,0.0,,,
2022-01-03,CANDEIAS DO JAMARI,RO,4,124.17000000000002,4.75,0.0,0.0,0.0,,,
2022-01-03,CANTA,RR,1,18.51,4.0,4.0,75.0,18.75,0.55,7.25,0.625
2022-01-03,CARACARAI,RR,3,54.79,3.6666666666666665,3.0,39.0,13.0,0.13333333333333333,8.333333333333334,0.7000000000000001
2022-01-03,CAREIRO DA VARZEA,AM,1,21.77,5.0,0.0,0.0,0.0,,,
2022-01-03,COLNIZA,MT,4,109.08,4.75,0.0,0.0,0.0,,,
2022-01-03,COMODORO,MT,1,11.14,4.0,5.0,150.20000000000002,30.040000000000003,1.4600000000000002,2.0,0.02
2022-01-03,COSTA MARQUES,RO,1,13.69,4.0,10.0,157.4,15.74,0.5700000000000001,5.5,0.27
2022-01-03,FEIJO,AC,2,29.740000000000002,4.0,0.0,0.0,0.0,,,
2022-01-03,GUAJARA,AM,3,36.51,3.6666666666666665,12.0,616.7,51.39166666666667,0.0,7.0,0.09166666666666667
2022-01-03,GUAJARA-MIRIM,RO,4,203.93,2.75,1.0,11.3,11.3,6.5,6.0,0.0
2022-01-03,IRACEMA,RR,1,9.1,3.0,3.0,186.9,62.300000000000004,0.09999999999999999,4.666666666666667,0.20000000000000004
2022-01-03,ITAPUA DO OESTE,RO,3,21.46,3.3333333333333335,0.0,0.0,0.0,,,
2022-01-03,JAPURA,AM,1,16.53,6.0,1.0,8.3,8.3,0.0,1.0,0.0
2022-01-03,JI-PARANA,RO,1,10.48,4.0,0.0,0.0,0.0,,,
2022-01-03,JUARA,MT,1,11.59,4.0,0.0,0.0,0.0,,,
2022-01-03,MACHADINHO D'OESTE,RO,3,42.769999999999996,4.0,0.0,0.0,0.0,,,
2022-01-03,MANCIO LIMA,AC,1,20.72,5.0,5.0,48.4,9.68,0.0,7.0,0.33999999999999997
2022-01-03,MANICORE,AM,4,46.209999999999994,3.75,0.0,0.0,0.0,,,
2022-01-03,MARCELANDIA,MT,1,10.33,4.0,0.0,0.0,0.0,,,
2022-01-03,MINISTRO ANDREAZZA,RO,1,7.829999999999999,3.0,0.0,0.0,0.0,,,
2022-01-03,MONTE NEGRO,RO,1,57.69,6.0,0.0,0.0,0.0,,,
2022-01-03,NOVA MAMORE,RO,4,107.32,4.25,1.0,11.9,11.9,0.0,5.0,0.1
2022-01-03,PACAJA,PA,1,7.829999999999999,3.0,0.0,0.0,0.0,,,
2022-01-03,PARECIS,RO,1,8.43,3.0,0.0,0.0,0.0,,,
2022-01-03,PEIXOTO DE AZEVEDO,MT,1,45.23,5.0,0.0,0.0,0.0,,,
2022-01-03,PIMENTEIRAS DO OESTE,RO,2,27.660000000000004,3.0,0.0,0.0,0.0,,,
2022-01-03,PORTO ALEGRE DO NORTE,MT,2,32.849999999999994,4.0,0.0,0.0,0.0,,,
2022-01-03,PORTO VELHO,RO,12,235.96,4.083333333333333,7.0,136.2,19.457142857142856,2.0142857142857142,9.142857142857142,0.4714285714285714
2022-01-03,PRESIDENTE FIGUEIREDO,AM,3,32.22,3.6666666666666665,7.0,190.4,27.2,0.5,7.285714285714286,0.05714285714285715
2022-01-03,RORAINOPOLIS,RR,7,138.02,4.285714285714286,14.0,638.1,45.57857142857143,0.014285714285714287,4.571428571428571,0.13571428571428573
2022-01-03,SANTA CRUZ DO XINGU,MT,1,13.900000000000002,4.0,0.0,0.0,0.0,,,
2022-01-03,SAO FELIX DO ARAGUAIA,MT,1,6.99,3.0,0.0,0.0,0.0,,,
2022-01-03,SAO FELIX DO XINGU,PA,2,72.81,5.0,0.0,0.0,0.0,,,
2022-01-03,SAO FRANCISCO DO GUAPORE,RO,2,47.92,5.0,5.0,129.5,25.9,0.8400000000000001,3.8,0.4
2022-01-03,XAPURI,AC,1,11.87,4.0,3.0,59.7,19.900000000000002,0.0,4.333333333333333,0.13333333333333333
2022-01-10,ALTAMIRA,PA,3,47.7,3.6666666666666665,0.0,0.0,0.0,,,
2022-01-10,ALTO PARAISO,RO,2,36.36,4.0,0.0,0.0,0.0,,,
2022-01-10,APIACAS,MT,1,25.33,5.0,2.0,20.0,10.0,0.1,0.0,0.0
2022-01-10,APUI,AM,1,17.73,4.0,0.0,0.0,0.0,,,
2022-01-10,ARIPUANA,MT,1,16.45,4.0,0.0,0.0,0.0,,,
2022-01-10,ARIQUEMES,RO,1,23.31,5.0,0.0,0.0,0.0,,,
2022-01-10,BARRA DO BUGRES,MT,1,15.32,4.0,1.0,33.2,33.2,0.6,2.0,0.7
2022-01-10,BOCA DO ACRE,AM,2,26.75,3.5,0.0,0.0,0.0,,,
2022-01-10,BONFIM,RR,1,0.2,3.0,16.0,398.9,24.93125,0.09375,10.875,0.9375
2022-01-10,BREJO GRANDE DO ARAGUAIA,PA,1,36.120000000000005,5.0,0.0,0.0,0.0,,,
2022-01-10,BURITIS,RO,1,134.28,6.0,0.0,0.0,0.0,,,
2022-01-10,CANDEIAS DO JAMARI,RO,5,65.24,3.4,1.0,22.0,22.0,4.0,0.0,0.0
2022-01-10,CANTA,RR,4,50.07,3.75,4.0,299.8,74.95,1.2,7.75,0.525
2022-01-10,CANUTAMA,AM,3,55.74999999999999,3.6666666666666665,0.0,0.0,0.0,,,
2022-01-10,CARACARAI,RR,3,122.7,4.666666666666667,9.0,138.9,15.433333333333334,0.9777777777777779,6.0,0.6000000000000001
2022-01-10,CAROEBE,RR,20,320.15,3.5,18.0,726.7,40.37222222222223,0.16111111111111112,3.5555555555555554,0.14444444444444446
2022-01-10,CLAUDIA,MT,1,72.78999999999999,5.0,1.0,7.1,7.1,0.0,0.0,0.0
2022-01-10,COLNIZA,MT,9,522.26,4.666666666666667,1.0,13.2,13.2,13.9,0.0,0.0
2022-01-10,CRUZEIRO DO SUL,AC,1,12.69,4.0,0.0,0.0,0.0,,,
2022-01-10,ESPIGAO D'OESTE,RO,1,23.96,5.0,2.0,24.799999999999997,12.399999999999999,6.25,0.0,0.0
2022-01-10,FELIZ NATAL,MT,2,19.06,3.5,2.0,28.2,14.1,4.3,3.0,0.0
2022-01-10,GAUCHA DO NORTE,MT,1,25.53,5.0,0.0,0.0,0.0,,,
2022-01-10,GOIANESIA DO PARA,PA,4,39.41,3.5,0.0,0.0,0.0,,,
2022-01-10,GOVERNADOR JORGE TEIXEIRA,RO,1,57.21000000000001,6.0,0.0,0.0,0.0,,,
2022-01-10,GUAJARA,AM,1,8.68,3.0,0.0,0.0,0.0,,,
2022-01-10,GUARANTA DO NORTE,MT,2,67.35,4.0,0.0,0.0,0.0,,,
2022-01-10,HUMAITA,AM,3,215.09,4.666666666666667,0.0,0.0,0.0,,,
2022-01-10,IPIRANGA DO NORTE,MT,2,281.86,4.5,0.0,0.0,0.0,,,
2022-01-10,IPIXUNA DO PARA,PA,2,38.14,4.5,0.0,0.0,0.0,,,
2022-01-10,IRACEMA,RR,3,63.36,4.0,1.0,21.1,21.1,2.0,4.0,0.2
2022-01-10,ITAPUA DO OESTE,RO,1,360.78,7.0,0.0,0.0,0.0,,,
2022-01-10,ITINGA DO MARANHAO,MA,2,32.78,4.0,0.0,0.0,0.0,,,
2022-01-10,ITUPIRANGA,PA,1,10.59,4.0,0.0,0.0,0.0,,,
2022-01-10,JARU,RO,2,37.61,4.5,0.0,0.0,0.0,,,
2022-01-10,JUARA,MT,2,213.83999999999997,5.0,1.0,47.9,47.9,9.7,1.0,0.0
2022-01-10,MARCELANDIA,MT,2,303.03999999999996,5.0,1.0,13.9,13.9,0.3,0.0,0.0
2022-01-10,MATUPA,MT,1,57.26,6.0,0.0,0.0,0.0,,,
2022-01-10,MONTE NEGRO,RO,1,9.95,3.0,0.0,0.0,0.0,,,
2022-01-10,NOVA BANDEIRANTES,MT,1,10.9,3.0,0.0,0.0,0.0,,,
2022-01-10,NOVA BRASILANDIA D'OESTE,RO,1,16.57,4.0,0.0,0.0,0.0,,,
2022-01-10,NOVA CANAA DO NORTE,MT,1,50.5,6.0,0.0,0.0,0.0,,,
2022-01-10,NOVA MARINGA,MT,3,744.79,5.333333333333333,6.0,67.19999999999999,11.199999999999998,4.583333333333333,0.3333333333333333,0.016666666666666666
2022-01-10,NOVA MONTE VERDE,MT,2,76.28999999999999,5.0,0.0,0.0,0.0,,,
2022-01-10,NOVA MUTUM,MT,1,12.77,4.0,2.0,18.3,9.15,0.25,1.0,0.0
2022-01-10,NOVA SANTA HELENA,MT,4,88.05000000000001,4.0,1.0,11.6,11.6,0.0,0.0,0.0
2022-01-10,NOVA UBIRATA,MT,1,38.53,5.0,1.0,22.1,22.1,7.4,0.0,0.0
2022-01-10,NOVO MUNDO,MT,1,21.45,4.0,0.0,0.0,0.0,,,
2022-01-10,NOVO PROGRESSO,PA,2,52.78,4.0,1.0,9.3,9.3,4.6,0.0,0.0
2022-01-10,PACAJA,PA,1,12.49,4.0,0.0,0.0,0.0,,,
2022-01-10,PARAGOMINAS,PA,1,683.89,4.0,2.0,54.2,27.1,5.2,0.0,0.0
2022-01-10,PARANAITA,MT,1,24.81,5.0,1.0,10.0,10.0,0.0,2.0,0.0
2022-01-10,PARANATINGA,MT,1,382.14,6.0,0.0,0.0,0.0,,,
2022-01-10,PEIXOTO DE AZEVEDO,MT,3,40.160000000000004,3.6666666666666665,0.0,0.0,0.0,,,
2022-01-10,PIMENTA BUENO,RO,4,82.87,4.25,0.0,0.0,0.0,,,
2022-01-10,PORTEL,PA,2,214.31,4.0,0.0,0.0,0.0,,,
2022-01-10,PORTO DE MOZ,PA,1,45.97,5.0,0.0,0.0,0.0,,,
2022-01-10,PORTO DOS GAUCHOS,MT,2,346.06,6.0,5.0,91.7,18.34,3.5,0.6,0.02
2022-01-10,PORTO VELHO,RO,3,71.55000000000001,4.0,0.0,0.0,0.0,,,
2022-01-10,RORAINOPOLIS,RR,23,397.25,3.6956521739130435,24.0,1247.1,51.9625,0.46249999999999997,2.125,0.2625
2022-01-10,SANTA CARMEM,MT,2,192.20000000000002,6.0,2.0,54.1,27.05,7.25,1.0,0.0
2022-01-10,SAO JOAO DA BALIZA,RR,10,138.34,3.8,17.0,602.1,35.41764705882353,0.052941176470588235,3.823529411764706,0.14705882352941177
2022-01-10,SAO JOAO DE PIRABAS,PA,1,15.47,4.0,1.0,5.1,5.1,0.7,1.0,0.0
2022-01-10,SAO LUIZ,RR,2,30.75,4.0,7.0,272.2,38.885714285714286,0.5714285714285714,2.142857142857143,0.2571428571428572
2022-01-10,TAILANDIA,PA,2,38.129999999999995,4.5,0.0,0.0,0.0,,,
2022-01-10,TOME-ACU,PA,1,56.37,5.0,0.0,0.0,0.0,,,
2022-01-10,UNIAO DO SUL,MT,1,103.56,6.0,0.0,0.0,0.0,,,
2022-01-17,ALTA FLORESTA D'OESTE,RO,3,51.730000000000004,4.0,0.0,0.0,0.0,,,
2022-01-17,ALTAMIRA,PA,7,218.05,4.857142857142857,0.0,0.0,0.0,,,
